1: ProtocolRequired - \handshake\ProtocolRequired.as
5556: GuildInvitationAnswerMessage - \game\guild\GuildInvitationAnswerMessage.as
5557: GuildInformationsGeneralMessage - \game\guild\GuildInformationsGeneralMessage.as
5558: GuildInformationsMembersMessage - \game\guild\GuildInformationsMembersMessage.as
5562: GuildLeftMessage - \game\guild\GuildLeftMessage.as
5563: GuildInvitationStateRecruterMessage - \game\guild\GuildInvitationStateRecruterMessage.as
5564: GuildJoinedMessage - \game\guild\GuildJoinedMessage.as
5570: GameActionFightUnmarkCellsMessage - \game\actions\fight\GameActionFightUnmarkCellsMessage.as
5571: GameActionFightKillMessage - \game\actions\fight\GameActionFightKillMessage.as
5572: GameFightUpdateTeamMessage - \game\context\fight\GameFightUpdateTeamMessage.as
5573: SubscriptionZoneMessage - \game\subscriber\SubscriptionZoneMessage.as
5574: PartyStopFollowRequestMessage - \game\context\roleplay\party\PartyStopFollowRequestMessage.as
5575: PartyUpdateMessage - \game\context\roleplay\party\PartyUpdateMessage.as
5576: PartyJoinMessage - \game\context\roleplay\party\PartyJoinMessage.as
5577: PartyFollowMemberRequestMessage - \game\context\roleplay\party\PartyFollowMemberRequestMessage.as
5578: PartyLeaderUpdateMessage - \game\context\roleplay\party\PartyLeaderUpdateMessage.as
5579: PartyMemberRemoveMessage - \game\context\roleplay\party\PartyMemberRemoveMessage.as
5580: PartyAcceptInvitationMessage - \game\context\roleplay\party\PartyAcceptInvitationMessage.as
5581: PartyFollowStatusUpdateMessage - \game\context\roleplay\party\PartyFollowStatusUpdateMessage.as
5582: PartyRefuseInvitationMessage - \game\context\roleplay\party\PartyRefuseInvitationMessage.as
5583: PartyCannotJoinErrorMessage - \game\context\roleplay\party\PartyCannotJoinErrorMessage.as
5584: CompassResetMessage - \game\atlas\compass\CompassResetMessage.as
5585: PartyInvitationRequestMessage - \game\context\roleplay\party\PartyInvitationRequestMessage.as
5586: PartyInvitationMessage - \game\context\roleplay\party\PartyInvitationMessage.as
5587: PartyLocateMembersRequestMessage - \game\context\roleplay\party\PartyLocateMembersRequestMessage.as
5588: PartyFollowThisMemberRequestMessage - \game\context\roleplay\party\PartyFollowThisMemberRequestMessage.as
5589: CompassUpdatePartyMemberMessage - \game\atlas\compass\CompassUpdatePartyMemberMessage.as
5590: PartyKickedByMessage - \game\context\roleplay\party\PartyKickedByMessage.as
5591: CompassUpdateMessage - \game\atlas\compass\CompassUpdateMessage.as
5592: PartyKickRequestMessage - \game\context\roleplay\party\PartyKickRequestMessage.as
5593: PartyLeaveRequestMessage - \game\context\roleplay\party\PartyLeaveRequestMessage.as
5594: PartyLeaveMessage - \game\context\roleplay\party\PartyLeaveMessage.as
5595: PartyLocateMembersMessage - \game\context\roleplay\party\PartyLocateMembersMessage.as
5596: PartyRefuseInvitationNotificationMessage - \game\context\roleplay\party\PartyRefuseInvitationNotificationMessage.as
5597: GuildInformationsMemberUpdateMessage - \game\guild\GuildInformationsMemberUpdateMessage.as
5599: FriendAddedMessage - \game\friend\FriendAddedMessage.as
5600: FriendAddFailureMessage - \game\friend\FriendAddFailureMessage.as
5601: FriendDeleteResultMessage - \game\friend\FriendDeleteResultMessage.as
5602: FriendSetWarnOnConnectionMessage - \game\friend\FriendSetWarnOnConnectionMessage.as
5603: FriendDeleteRequestMessage - \game\friend\FriendDeleteRequestMessage.as
5604: FriendSpouseJoinRequestMessage - \game\friend\FriendSpouseJoinRequestMessage.as
5605: FriendJoinRequestMessage - \game\friend\FriendJoinRequestMessage.as
5606: FriendSpouseFollowWithCompassRequestMessage - \game\friend\FriendSpouseFollowWithCompassRequestMessage.as
5607: ClientKeyMessage - \security\ClientKeyMessage.as
5609: StatsUpgradeResultMessage - \game\context\roleplay\stats\StatsUpgradeResultMessage.as
5610: StatsUpgradeRequestMessage - \game\context\roleplay\stats\StatsUpgradeRequestMessage.as
5611: ShowCellRequestMessage - \game\context\ShowCellRequestMessage.as
5612: ShowCellMessage - \game\context\ShowCellMessage.as
5613: ChallengeTargetsListMessage - \game\context\fight\challenge\ChallengeTargetsListMessage.as
5614: ChallengeTargetsListRequestMessage - \game\context\fight\challenge\ChallengeTargetsListRequestMessage.as
5615: TaxCollectorDialogQuestionExtendedMessage - \game\context\roleplay\npc\TaxCollectorDialogQuestionExtendedMessage.as
5616: NpcDialogReplyMessage - \game\context\roleplay\npc\NpcDialogReplyMessage.as
5617: NpcDialogQuestionMessage - \game\context\roleplay\npc\NpcDialogQuestionMessage.as
5618: NpcDialogCreationMessage - \game\context\roleplay\npc\NpcDialogCreationMessage.as
5619: TaxCollectorDialogQuestionBasicMessage - \game\context\roleplay\npc\TaxCollectorDialogQuestionBasicMessage.as
5622: QuestStepInfoRequestMessage - \game\context\roleplay\quest\QuestStepInfoRequestMessage.as
5623: QuestListRequestMessage - \game\context\roleplay\quest\QuestListRequestMessage.as
5625: QuestStepInfoMessage - \game\context\roleplay\quest\QuestStepInfoMessage.as
5626: QuestListMessage - \game\context\roleplay\quest\QuestListMessage.as
5628: ExchangeLeaveMessage - \game\inventory\exchanges\ExchangeLeaveMessage.as
5630: FriendWarnOnConnectionStateMessage - \game\friend\FriendWarnOnConnectionStateMessage.as
5632: GameRolePlayShowActorMessage - \game\context\roleplay\GameRolePlayShowActorMessage.as
5633: TaxCollectorMovementMessage - \game\guild\tax\TaxCollectorMovementMessage.as
5634: TaxCollectorErrorMessage - \game\guild\tax\TaxCollectorErrorMessage.as
